,Brand,Model,ROM,RAM,OS,Screen size,Dual Sim,Expandable Memory,5G,Fingerprint Sensor,Price
148,Oppo,A37,16.0,2.0,Android,5.0,1,1,0,0,5500
149,Samsung,Galaxy J7,16.0,1.5,Android,5.5,0,0,0,0,5500
150,Apple,iPhone 4S,16.0,0.5,iOS,3.5,1,1,0,1,5500
151,Apple,iPhone 4S,16.0,0.5,iOS,3.5,0,0,0,0,5500
152,LG,K4,16.0,1.0,Android,4.5,1,0,0,0,5500
153,Huawei,Y3,16.0,1.0,Android,5.0,1,1,0,0,5500
154,Samsung,Galaxy Y duos,16.0,0.25,Android,3.14,1,1,0,0,5500
155,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5500
156,Samsung,Galaxy J5,16.0,1.5,Android,5.0,1,1,0,0,5500
157,Samsung,Galaxy Note 3,16.0,3.0,Android,5.7,0,0,0,0,5500
158,Oppo,A37,16.0,2.0,Android,5.0,1,1,0,0,5500
159,Huawei,Y3,16.0,1.0,Android,5.0,0,0,0,0,5500
160,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5500
161,Samsung,Galaxy Note 2,64.0,2.0,Android,5.5,0,0,0,0,5500
162,Asus,ZenFone,64.0,4.0,Android,5.7,1,1,0,0,5500
163,Samsung,Galaxy J7,32.0,1.5,Android,5.5,1,1,0,1,5500
164,Samsung,Galaxy Grand,32.0,1.0,Android,5.0,0,1,0,0,5500
165,Huawei,Y3,32.0,1.0,Android,5.0,1,1,0,0,5500
166,Samsung,Galaxy J2,32.0,1.0,Android,4.7,1,1,0,1,5500
167,Samsung,Galaxy J2,8.0,1.0,Android,4.7,0,0,0,0,5500
168,Samsung,Galaxy J3,8.0,2.0,Android,5.0,1,1,0,0,5500
169,Sony,Xperia Z3,8.0,3.0,Android,5.2,1,1,0,1,5500
170,Apple,iPhone 5,16.0,1.0,iOS,4.0,0,0,0,0,5500
171,Huawei,Y3,16.0,1.0,Android,5.0,1,1,0,0,5500
172,Samsung,Galaxy J1,32.0,0.5,Android,4.3,1,1,0,0,5500
173,Samsung,Galaxy J1,32.0,0.5,Android,4.3,0,0,0,0,5500
174,Nokia,2.2,32.0,2.0,Android,5.71,1,1,0,1,5500
175,Samsung,Galaxy J3,32.0,2.0,Android,5.0,1,1,0,0,5500
176,Huawei,Y3,32.0,1.0,Android,5.0,1,0,0,0,5500
177,Samsung,Galaxy J1,32.0,0.5,Android,4.3,1,0,0,0,5500
178,Samsung,Galaxy J1,32.0,0.5,Android,4.3,1,0,0,0,5500
179,Nokia,216,0.016,0.016,Other,2.4,1,1,0,0,5500
180,Samsung,Galaxy J1,0.016,0.5,Android,4.3,1,1,0,0,5500
181,Samsung,Galaxy Core,32.0,1.0,Android,4.3,1,1,0,0,5500
182,HTC,One M8,32.0,2.0,Android,5.0,0,1,0,0,5500
183,Samsung,Galaxy J2,32.0,1.0,Android,4.7,1,0,0,0,5500
184,Samsung,Galaxy J,32.0,3.0,Android,5.0,0,0,0,0,5500
185,Samsung,Galaxy J7,32.0,1.5,Android,5.5,1,1,0,0,5500
186,Samsung,Galaxy J5,32.0,1.5,Android,5.0,1,1,0,0,5500
187,Samsung,Galaxy Grand,32.0,1.0,Android,5.0,1,0,0,0,5500
188,Samsung,Galaxy Core,32.0,1.0,Android,4.3,1,1,0,0,5500
189,Samsung,Galaxy J1,32.0,0.5,Android,4.3,1,0,0,0,5500
190,Oppo,A57,32.0,3.0,Android,5.2,0,0,0,0,5500
191,Samsung,Galaxy J1,32.0,0.5,Android,4.3,1,0,0,0,5500
192,HTC,One M8,32.0,2.0,Android,5.0,0,1,0,0,5500
193,Apple,iPhone 4,16.0,0.5,iOS,3.5,0,0,0,0,5500
194,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5500
195,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5500
196,Huawei,Y3,16.0,1.0,Android,5.0,1,1,0,0,5500
197,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5500
198,Samsung,Galaxy Note 1,16.0,1.0,Android,5.3,0,0,0,0,5500
199,Samsung,Galaxy J2,16.0,1.0,Android,4.7,0,0,0,0,5500
200,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,0,0,0,5500
201,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5500
202,Samsung,Galaxy J7,16.0,1.5,Android,5.5,1,1,0,1,5500
203,Samsung,Galaxy J1,16.0,0.5,Android,4.3,0,0,0,0,5500
204,HTC,Desire 526G+,16.0,1.0,Android,4.7,1,1,0,0,5500
205,Huawei,Y3,16.0,1.0,Android,5.0,0,0,0,0,5500
206,Samsung,Galaxy J1,512.0,0.5,Android,4.3,1,1,0,0,5500
207,Samsung,Galaxy J1,512.0,0.5,Android,4.3,1,1,0,0,5500
208,Sony,Xperia Z1,8.0,2.0,Android,5.0,1,1,0,0,5500
209,Samsung,Galaxy J1,8.0,0.5,Android,4.3,1,1,0,0,5500
210,Samsung,Galaxy Note 1,8.0,1.0,Android,5.3,1,1,0,0,5500
211,Samsung,Galaxy J1,8.0,0.5,Android,4.3,1,0,0,0,5500
212,Samsung,Galaxy J1,512.0,0.5,Android,4.3,1,1,0,0,5500
213,Samsung,Galaxy S7,512.0,4.0,Android,5.1,1,1,0,1,5500
214,Samsung,Galaxy J1,512.0,0.5,Android,4.3,1,1,0,0,5500
215,Samsung,Galaxy J5,32.0,1.5,Android,5.0,0,0,0,0,5500
216,Samsung,Galaxy Grand,32.0,1.0,Android,5.0,0,1,0,0,5500
217,HTC,One M8,32.0,2.0,Android,5.0,0,1,0,0,5500
218,Samsung,Galaxy J1,32.0,0.5,Android,4.3,1,0,0,0,5550
219,Samsung,Galaxy J1,32.0,0.5,Android,4.3,1,1,0,0,5600
220,Samsung,Galaxy A32,32.0,4.0,Android,6.4,1,0,0,0,5600
221,Samsung,Galaxy J2,32.0,1.0,Android,4.7,1,1,0,1,5700
222,Nokia,C1 Plus,32.0,1.0,Android,5.45,1,1,0,0,5750
223,Samsung,Galaxy J2,32.0,1.0,Android,4.7,1,1,0,0,5800
224,Huawei,GR5,32.0,3.0,Android,5.5,1,0,0,1,5800
225,Samsung,Galaxy S3,32.0,1.0,Android,4.8,1,0,0,0,5800
226,Samsung,Galaxy J7,32.0,1.5,Android,5.5,1,0,0,0,5800
227,Huawei,Honor 9 Lite,32.0,3.0,Android,5.65,1,0,0,0,5800
228,Samsung,Galaxy J1,32.0,0.5,Android,4.3,1,1,0,0,5800
229,Samsung,Galaxy A5,32.0,2.0,Android,5.0,1,1,0,0,5800
230,HTC,One M8,32.0,2.0,Android,5.0,1,1,0,0,5800
231,Samsung,Galaxy Grand,32.0,1.0,Android,5.0,0,0,0,0,5800
232,Samsung,Galaxy Core,32.0,1.0,Android,4.3,0,0,0,0,5800
233,Huawei,Y3,32.0,1.0,Android,5.0,1,1,0,0,5800
234,Samsung,Galaxy J5,32.0,1.5,Android,5.0,1,0,0,0,5800
235,HTC,One M8,32.0,2.0,Android,5.0,0,1,0,0,5800
236,Samsung,Galaxy S3,16.0,1.0,Android,4.8,0,1,0,0,5850
237,Samsung,Galaxy J2,16.0,1.0,Android,4.7,0,0,0,0,5900
238,Samsung,Galaxy S2,16.0,1.0,Android,4.3,0,0,0,0,5900
239,Huawei,Y3,16.0,1.0,Android,5.0,0,0,0,0,5900
240,Oppo,A33f,16.0,1.0,Android,5.0,1,1,0,0,5950
241,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,5990
242,Huawei,Y3,16.0,1.0,Android,5.0,0,0,0,0,5999
243,Huawei,Honor 4C,16.0,2.0,Android,5.0,0,0,0,0,5999
244,Huawei,Y6,16.0,2.0,Android,6.09,1,0,0,0,6000
245,Huawei,Y6,16.0,2.0,Android,6.09,1,1,0,0,6000
246,Huawei,Y6,16.0,2.0,Android,6.09,1,1,0,0,6000
247,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,6000
248,Samsung,Galaxy Grand,16.0,1.0,Android,5.0,0,0,0,0,6000
249,Huawei,Y5,16.0,2.0,Android,5.71,1,0,0,0,6000
250,Samsung,Galaxy J7,16.0,1.5,Android,5.5,1,1,0,0,6000
251,Huawei,Y5,16.0,2.0,Android,5.71,0,0,0,0,6000
252,Huawei,Y5,16.0,2.0,Android,5.71,1,0,0,0,6000
253,Huawei,Y5,16.0,2.0,Android,5.71,1,0,0,0,6000
254,Huawei,Y5,16.0,2.0,Android,5.71,0,0,0,0,6000
255,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,6000
256,Samsung,Galaxy S6,16.0,3.0,Android,5.1,1,0,0,1,6000
257,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,1,0,1,6000
258,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,6000
259,Huawei,Y5,16.0,2.0,Android,5.71,0,1,0,0,6000
260,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,6000
261,Huawei,Y5,16.0,2.0,Android,5.71,1,1,0,0,6000
262,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,1,0,1,6000
263,Apple,iPhone 5S,16.0,1.0,iOS,4.0,0,0,0,0,6000
264,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,6000
265,Sony,Xperia Z5,8.0,3.0,Android,5.2,0,1,0,1,6000
266,Huawei,Y3,8.0,1.0,Android,5.0,1,0,0,0,6000
267,Samsung,Galaxy J1,8.0,0.5,Android,4.3,1,1,0,0,6000
268,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,0,0,0,6000
269,Oppo,F1s,16.0,4.0,Android,5.5,0,0,0,0,6000
270,Nokia,C1,16.0,1.0,Android,5.45,1,1,0,0,6000
271,Huawei,Y3,16.0,1.0,Android,5.0,1,0,0,0,6000
272,Samsung,Galaxy S7 Edge,16.0,4.0,Android,5.5,0,1,0,0,6000
273,LG,G2,16.0,2.0,Android,5.2,0,1,0,0,6000
274,Samsung,Galaxy Note 3,16.0,3.0,Android,5.7,0,1,0,0,6000
275,Samsung,Galaxy S4,16.0,2.0,Android,5.0,1,1,0,1,6000
276,Nokia,2.2,16.0,2.0,Android,5.71,1,0,0,0,6000
277,Samsung,Galaxy J5,16.0,1.5,Android,5.0,1,1,0,1,6000
278,Apple,iPhone 5,16.0,1.0,iOS,4.0,0,0,0,0,6000
279,Samsung,Galaxy A10,16.0,4.0,Android,6.2,0,0,0,0,6000
280,Samsung,Galaxy Grand,16.0,1.0,Android,5.0,1,1,0,0,6000
281,Samsung,Galaxy J2,16.0,1.0,Android,4.7,0,0,0,0,6000
282,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,6000
283,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,1,0,0,6000
284,Samsung,Galaxy S3,16.0,1.0,Android,4.8,1,1,0,0,6000
285,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,1,0,0,6000
286,Apple,iPhone 5S,16.0,1.0,iOS,4.0,0,0,0,0,6000
287,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,0,0,0,6000
288,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,0,0,0,6000
289,Oppo,A37,16.0,2.0,Android,5.0,1,1,0,0,6000
290,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,0,0,0,6000
291,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,6000
292,Huawei,Honor,16.0,4.0,Android,5.2,0,0,0,0,6000
293,Samsung,Galaxy On7,16.0,1.5,Android,5.5,0,0,0,0,6000
294,Nokia,2.1,16.0,1.0,Android,5.5,1,0,0,0,6000
295,Apple,iPhone 6S,16.0,2.0,iOS,4.7,0,0,0,0,6000
296,Oppo,A3s,16.0,4.0,Android,6.2,1,1,0,1,6000
297,Samsung,Galaxy Core,16.0,1.0,Android,4.3,1,1,0,0,6000
298,Nokia,216,0.016,0.016,Other,2.4,1,0,0,0,6000
299,Samsung,Galaxy On7,0.016,1.5,Android,5.5,0,0,0,0,6000
300,Samsung,Galaxy J7,16.0,1.5,Android,5.5,1,1,0,1,6000
301,Apple,iPhone 6S,16.0,2.0,iOS,4.7,0,0,0,0,6000
302,Samsung,Galaxy A30 S,16.0,3.0,Android,6.4,1,1,0,1,6000
303,Samsung,Galaxy Grand,16.0,1.0,Android,5.0,1,0,0,0,6000
304,Samsung,Galaxy S3,16.0,1.0,Android,4.8,1,1,0,0,6000
305,Huawei,Y3,16.0,1.0,Android,5.0,1,1,0,0,6000
306,Samsung,Galaxy J5,16.0,1.5,Android,5.0,1,1,0,0,6000
307,HTC,Desire 626,16.0,0.5,Android,5.0,1,1,0,0,6000
308,Nokia,2,16.0,1.0,Android,5.0,1,1,0,0,6000
309,Samsung,Galaxy J3,16.0,2.0,Android,5.0,1,1,0,0,6000
310,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,0,0,0,6000
311,Apple,iPhone 5,16.0,1.0,iOS,4.0,0,1,0,0,6000
312,Samsung,Galaxy A10s,16.0,3.0,Android,6.2,1,0,0,1,6000
313,Samsung,Galaxy J5,16.0,1.5,Android,5.0,1,0,0,0,6000
314,Samsung,Galaxy J7,16.0,1.5,Android,5.5,1,1,0,1,6000
315,Samsung,Galaxy Grand,16.0,1.0,Android,5.0,1,0,0,0,6000
316,Samsung,Galaxy Y duos,64.0,0.25,Android,3.14,1,1,0,0,6000
317,Huawei,Y3,64.0,1.0,Android,5.0,1,0,0,0,6000
318,Samsung,Galaxy S3,64.0,1.0,Android,4.8,0,1,0,1,6000
319,Nokia,1.4,64.0,1.0,Android,6.52,1,1,0,1,6000
320,Huawei,Y3,64.0,1.0,Android,5.0,1,1,0,0,6000
321,Nokia,Eseries,0.25,0.128,Symbian OS,2.4,0,1,0,0,6000
322,Samsung,Galaxy S6 Edge,0.25,3.0,Android,5.1,1,1,0,1,6000
323,Samsung,Galaxy S4,16.0,2.0,Android,5.0,1,1,0,0,6000
324,Nokia,C1,16.0,1.0,Android,5.45,1,0,0,0,6000
325,Nokia,C1,16.0,1.0,Android,5.45,1,0,0,0,6000
326,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,6000
327,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,1,0,1,6000
328,Huawei,Honor,16.0,4.0,Android,5.2,1,1,0,0,6000
329,Samsung,Galaxy Ace,16.0,0.25,Android,3.5,0,0,0,0,6000
330,Samsung,Galaxy Core,16.0,1.0,Android,4.3,1,1,0,0,6000
331,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,0,0,0,6000
332,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,6000
333,Apple,iPhone 5S,16.0,1.0,iOS,4.0,0,0,0,1,6000
334,Samsung,Galaxy J1,16.0,0.5,Android,4.3,1,1,0,0,6000
335,Nokia,C1 Plus,32.0,1.0,Android,5.45,1,1,0,0,6000
336,Vivo,Y1s,32.0,2.0,Android,6.22,1,0,0,0,6000
337,Huawei,Y3,32.0,1.0,Android,5.0,1,1,0,1,6000
338,Samsung,Galaxy J1,32.0,0.5,Android,4.3,1,1,0,0,6000
339,Samsung,Galaxy J1,32.0,0.5,Android,4.3,1,1,0,0,6000
340,HTC,Desire 630,32.0,2.0,Android,5.0,1,1,0,0,6000
341,Samsung,Galaxy Y duos,16.0,0.25,Android,3.14,1,1,0,0,6000
342,Samsung,Galaxy J5,16.0,1.5,Android,5.0,0,0,0,0,6000
343,Samsung,Galaxy J7,16.0,1.5,Android,5.5,0,1,0,0,6000
344,Huawei,Y3,16.0,1.0,Android,5.0,1,0,0,0,6000
345,Samsung,Galaxy J2,16.0,1.0,Android,4.7,1,1,0,0,6000
346,Huawei,Y3,16.0,1.0,Android,5.0,1,1,0,1,6000
347,Samsung,Galaxy Grand,64.0,1.0,Android,5.0,1,0,0,1,6000
