Brand,Model,ROM,RAM,OS,Screen size,Dual Sim,Expandable Memory,5G,Fingerprint Sensor,Price
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,Yes,No,No,5000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,Yes,5000
Huawei,GR5,16.0,3.0,Android,5.50,Yes,No,No,Yes,5000
Samsung,Galaxy Grand,,1,Android,5.00,Yes,Yes,No,No,5000
Apple,iPhone 4S,64.0,0.5,iOS,3.50,No,No,No,No,5000
Samsung,Galaxy Y duos,,0.25,Android,3.14,Yes,Yes,No,No,5000
Apple,iPhone 5,16.0,1,iOS,4.00,No,Yes,No,No,5000
Apple,iPhone 5S,16.0,1,iOS,4.00,No,No,No,No,5000
Samsung,Galaxy Y duos,,0.25,Android,3.14,Yes,Yes,No,No,5000
Samsung,Galaxy Note 5,,4,Android,5.70,No,No,No,No,5000
Samsung,Galaxy J5,,1.5,Android,5.00,Yes,Yes,No,No,5000
Samsung,Galaxy A2 Core,,1,Android,5.00,No,No,No,No,5200
Huawei,Y3,16.0,1.0,Android,5.00,Yes,No,No,No,5200
HTC,Desire 320,,1,Android,4.50,Yes,Yes,No,No,5200
LG,K8,16.0,1.5,Android,5.00,Yes,No,No,No,5200
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,5200
Samsung,Galaxy J2,,1,Android,4.70,No,No,No,No,5300
Huawei,Y6,16.0,2.0,Android,6.09,Yes,No,No,No,5500
LG,L Bello,16.0,1.0,Android,5.00,No,No,No,No,5500
LG,K10,16.0,1.0,Android,5.30,Yes,No,No,No,5500
Huawei,Y5 Prime,16.0,2.0,Android,5.45,Yes,Yes,No,No,5500
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,No,No,No,5500
Huawei,Y5,16.0,2.0,Android,5.71,Yes,Yes,No,No,5500
Nokia,1,16.0,1.0,Android,4.50,Yes,Yes,No,No,5500
Xiaomi,Poco X3 Pro,16.0,6,Android,6.67,Yes,Yes,No,No,5500
Huawei,Y3,16.0,1.0,Android,5.00,No,No,No,No,5500
Samsung,Galaxy A5,16.0,2,Android,5.00,Yes,No,No,No,5500
Huawei,Y3,16.0,1.0,Android,5.00,Yes,Yes,No,No,5500
Samsung,Galaxy J1,16.0,0.5,Android,4.30,No,No,No,No,5500
Samsung,Galaxy J3,16.0,2,Android,5.00,No,Yes,No,No,5500
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,No,No,No,5500
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,Yes,No,No,5500
HTC,Desire 820,16.0,2,Android,5.50,Yes,Yes,No,Yes,5500
HTC,Desire 526G+,16.0,1,Android,4.70,Yes,Yes,No,No,5500
Huawei,Y3,16.0,1.0,Android,5.00,Yes,No,No,No,5500
Samsung,Galaxy J2,16.0,1,Android,4.70,No,No,No,No,5500
Nokia,8,64.0,4.0,Android,5.30,No,No,No,Yes,5500
Samsung,Galaxy J1,32.0,0.5,Android,4.30,Yes,Yes,No,No,5500
Nokia,150,0.032,0.004,Other,2.40,Yes,Yes,No,No,5500
HTC,Desire,32.0,0.5,Android,3.70,Yes,Yes,No,No,5500
Nokia,C2,16.0,1,Android,5.70,Yes,Yes,No,No,5500
Huawei,GR3,32.0,2.0,Android,5.20,Yes,Yes,No,Yes,5500
Samsung,Galaxy Core,32.0,1,Android,4.30,Yes,Yes,No,No,5500
Huawei,Y3,32.0,1.0,Android,5.00,Yes,Yes,No,No,5500
Vivo,V9,64.0,4,Android,6.30,Yes,Yes,No,Yes,5500
Nokia,2.2,16.0,2.0,Android,5.71,Yes,No,No,No,5500
Samsung,Galaxy J7,16.0,1.5,Android,5.50,Yes,Yes,No,No,5500
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,Yes,No,No,5500
Samsung,Galaxy J7,16.0,1.5,Android,5.50,Yes,Yes,No,No,5500
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,Yes,No,No,5500
Huawei,Y3,16.0,1.0,Android,5.00,Yes,Yes,No,No,5500
Samsung,Galaxy A02s,16.0,4,Android,6.50,Yes,No,No,No,5500
Xiaomi,Redmi Note 9,16.0,6,Android,6.53,No,No,No,No,5500
Samsung,Galaxy On Nxt,16.0,3,Android,5.50,No,Yes,No,No,5500
Samsung,Galaxy J3,16.0,2,Android,5.00,Yes,Yes,No,No,5500
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,Yes,No,No,5500
Samsung,Galaxy J4+,16.0,2,Android,6.00,Yes,Yes,No,No,5500
Samsung,Galaxy J3,16.0,2,Android,5.00,Yes,Yes,No,No,5500
Oppo,A37,16.0,2,Android,5.00,Yes,Yes,No,No,5500
Samsung,Galaxy J7,,1.5,Android,5.50,No,No,No,No,5500
Apple,iPhone 4S,16.0,0.5,iOS,3.50,Yes,Yes,No,Yes,5500
Apple,iPhone 4S,16.0,0.5,iOS,3.50,No,No,No,No,5500
LG,K4,16.0,1.0,Android,4.50,Yes,No,No,No,5500
Huawei,Y3,,1.0,Android,5.00,Yes,Yes,No,No,5500
Samsung,Galaxy Y duos,16.0,0.25,Android,3.14,Yes,Yes,No,No,5500
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,5500
Samsung,Galaxy J5,16.0,1.5,Android,5.00,Yes,Yes,No,No,5500
Samsung,Galaxy Note 3,,3,Android,5.70,No,No,No,No,5500
Oppo,A37,16.0,2,Android,5.00,Yes,Yes,No,No,5500
Huawei,Y3,,1.0,Android,5.00,No,No,No,No,5500
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,5500
Samsung,Galaxy Note 2,,2,Android,5.50,No,No,No,No,5500
Asus,ZenFone,64.0,4.0,Android,5.70,Yes,Yes,No,No,5500
Samsung,Galaxy J7,32.0,1.5,Android,5.50,Yes,Yes,No,Yes,5500
Samsung,Galaxy Grand,,1,Android,5.00,No,Yes,No,No,5500
Huawei,Y3,,1.0,Android,5.00,Yes,Yes,No,No,5500
Samsung,Galaxy J2,,1,Android,4.70,Yes,Yes,No,Yes,5500
Samsung,Galaxy J2,,1,Android,4.70,No,No,No,No,5500
Samsung,Galaxy J3,,2,Android,5.00,Yes,Yes,No,No,5500
Sony,Xperia Z3,8.0,3.0,Android,5.20,Yes,Yes,No,Yes,5500
Apple,iPhone 5,16.0,1,iOS,4.00,No,No,No,No,5500
Huawei,Y3,,1.0,Android,5.00,Yes,Yes,No,No,5500
Samsung,Galaxy J1,32.0,0.5,Android,4.30,Yes,Yes,No,No,5500
Samsung,Galaxy J1,32.0,0.5,Android,4.30,No,No,No,No,5500
Nokia,2.2,32.0,2.0,Android,5.71,Yes,Yes,No,Yes,5500
Samsung,Galaxy J3,32.0,2,Android,5.00,Yes,Yes,No,No,5500
Huawei,Y3,32.0,1.0,Android,5.00,Yes,No,No,No,5500
Samsung,Galaxy J1,32.0,0.5,Android,4.30,Yes,No,No,No,5500
Samsung,Galaxy J1,32.0,0.5,Android,4.30,Yes,No,No,No,5500
Nokia,216,0.016,0.016,Other,2.40,Yes,Yes,No,No,5500
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,5500
Samsung,Galaxy Core,,1,Android,4.30,Yes,Yes,No,No,5500
HTC,One M8,32.0,2,Android,5.00,No,Yes,No,No,5500
Samsung,Galaxy J2,32.0,1,Android,4.70,Yes,No,No,No,5500
Samsung,Galaxy J,32.0,3,Android,5.00,No,No,No,No,5500
Samsung,Galaxy J7,32.0,1.5,Android,5.50,Yes,Yes,No,No,5500
Samsung,Galaxy J5,32.0,1.5,Android,5.00,Yes,Yes,No,No,5500
Samsung,Galaxy Grand,32.0,1,Android,5.00,Yes,No,No,No,5500
Samsung,Galaxy Core,32.0,1,Android,4.30,Yes,Yes,No,No,5500
Samsung,Galaxy J1,32.0,0.5,Android,4.30,Yes,No,No,No,5500
Oppo,A57,,3,Android,5.20,No,No,No,No,5500
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,No,No,No,5500
HTC,One M8,32.0,2,Android,5.00,No,Yes,No,No,5500
Apple,iPhone 4,16.0,0.5,iOS,3.50,No,No,No,No,5500
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,5500
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,5500
Huawei,Y3,,1.0,Android,5.00,Yes,Yes,No,No,5500
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,5500
Samsung,Galaxy Note 1,16.0,1,Android,5.30,No,No,No,No,5500
Samsung,Galaxy J2,16.0,1,Android,4.70,No,No,No,No,5500
Samsung,Galaxy J2,16.0,1,Android,4.70,Yes,No,No,No,5500
Samsung,Galaxy J1,16.0,0.5,Android,4.30,Yes,Yes,No,No,5500
Samsung,Galaxy J7,16.0,1.5,Android,5.50,Yes,Yes,No,Yes,5500
Samsung,Galaxy J1,16.0,0.5,Android,4.30,No,No,No,No,5500
HTC,Desire 526G+,16.0,1,Android,4.70,Yes,Yes,No,No,5500
Huawei,Y3,,1.0,Android,5.00,No,No,No,No,5500
Samsung,Galaxy J1,512.0,0.5,Android,4.30,Yes,Yes,No,No,5500
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,5500
Sony,Xperia Z1,8.0,2,Android,5.00,Yes,Yes,No,No,5500
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,5500
Samsung,Galaxy Note 1,,1,Android,5.30,Yes,Yes,No,No,5500
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,No,No,No,5500
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,5500
Samsung,Galaxy S7,,4,Android,5.10,Yes,Yes,No,Yes,5500
Samsung,Galaxy J1,512.0,0.5,Android,4.30,Yes,Yes,No,No,5500
Samsung,Galaxy J5,32.0,1.5,Android,5.00,No,No,No,No,5500
Samsung,Galaxy Grand,,1,Android,5.00,No,Yes,No,No,5500
HTC,One M8,32.0,2,Android,5.00,No,Yes,No,No,5500
Samsung,Galaxy J1,32.0,0.5,Android,4.30,Yes,No,No,No,5550
Samsung,Galaxy J1,32.0,0.5,Android,4.30,Yes,Yes,No,No,5600
Samsung,Galaxy A32,32.0,4,Android,6.40,Yes,No,No,No,5600
Samsung,Galaxy J2,32.0,1,Android,4.70,Yes,Yes,No,Yes,5700
Nokia,C1 Plus,32.0,1,Android,5.45,Yes,Yes,No,No,5750
Samsung,Galaxy J2,32.0,1,Android,4.70,Yes,Yes,No,No,5800
Huawei,GR5,32.0,3.0,Android,5.50,Yes,No,No,Yes,5800
Samsung,Galaxy S3,32.0,1,Android,4.80,Yes,No,No,No,5800
Samsung,Galaxy J7,32.0,1.5,Android,5.50,Yes,No,No,No,5800
Huawei,Honor 9 Lite,32.0,3.0,Android,5.65,Yes,No,No,No,5800
Samsung,Galaxy J1,32.0,0.5,Android,4.30,Yes,Yes,No,No,5800
Samsung,Galaxy A5,32.0,2,Android,5.00,Yes,Yes,No,No,5800
HTC,One M8,32.0,2,Android,5.00,Yes,Yes,No,No,5800
Samsung,Galaxy Grand,,1,Android,5.00,No,No,No,No,5800
Samsung,Galaxy Core,,1,Android,4.30,No,No,No,No,5800
Huawei,Y3,,1.0,Android,5.00,Yes,Yes,No,No,5800
Samsung,Galaxy J5,,1.5,Android,5.00,Yes,No,No,No,5800
HTC,One M8,32.0,2,Android,5.00,No,Yes,No,No,5800
Samsung,Galaxy S3,16.0,1,Android,4.80,No,Yes,No,No,5850
Samsung,Galaxy J2,,1,Android,4.70,No,No,No,No,5900
Samsung,Galaxy S2,16.0,1,Android,4.30,No,No,No,No,5900
Huawei,Y3,,1.0,Android,5.00,No,No,No,No,5900
Oppo,A33f,16.0,1,Android,5.00,Yes,Yes,No,No,5950
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,5990
Huawei,Y3,,1.0,Android,5.00,No,No,No,No,5999
Huawei,Honor 4C,,2.0,Android,5.00,No,No,No,No,5999
Huawei,Y6,16.0,2.0,Android,6.09,Yes,No,No,No,6000
Huawei,Y6,16.0,2.0,Android,6.09,Yes,Yes,No,No,6000
Huawei,Y6,16.0,2.0,Android,6.09,Yes,Yes,No,No,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,6000
Samsung,Galaxy Grand,,1,Android,5.00,No,No,No,No,6000
Huawei,Y5,16.0,2.0,Android,5.71,Yes,No,No,No,6000
Samsung,Galaxy J7,,1.5,Android,5.50,Yes,Yes,No,No,6000
Huawei,Y5,16.0,2.0,Android,5.71,No,No,No,No,6000
Huawei,Y5,16.0,2.0,Android,5.71,Yes,No,No,No,6000
Huawei,Y5,16.0,2.0,Android,5.71,Yes,No,No,No,6000
Huawei,Y5,16.0,2.0,Android,5.71,No,No,No,No,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,6000
Samsung,Galaxy S6,,3,Android,5.10,Yes,No,No,Yes,6000
Samsung,Galaxy J2,,1,Android,4.70,Yes,Yes,No,Yes,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,6000
Huawei,Y5,16.0,2.0,Android,5.71,No,Yes,No,No,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,6000
Huawei,Y5,16.0,2.0,Android,5.71,Yes,Yes,No,No,6000
Samsung,Galaxy J2,16.0,1,Android,4.70,Yes,Yes,No,Yes,6000
Apple,iPhone 5S,16.0,1,iOS,4.00,No,No,No,No,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,6000
Sony,Xperia Z5,8.0,3,Android,5.20,No,Yes,No,Yes,6000
Huawei,Y3,,1.0,Android,5.00,Yes,No,No,No,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,No,No,No,6000
Oppo,F1s,16.0,4,Android,5.50,No,No,No,No,6000
Nokia,C1,,1,Android,5.45,Yes,Yes,No,No,6000
Huawei,Y3,,1.0,Android,5.00,Yes,No,No,No,6000
Samsung,Galaxy S7 Edge,,4,Android,5.50,No,Yes,No,No,6000
LG,G2,16.0,2.0,Android,5.20,No,Yes,No,No,6000
Samsung,Galaxy Note 3,,3,Android,5.70,No,Yes,No,No,6000
Samsung,Galaxy S4,,2,Android,5.00,Yes,Yes,No,Yes,6000
Nokia,2.2,16.0,2.0,Android,5.71,Yes,No,No,No,6000
Samsung,Galaxy J5,,1.5,Android,5.00,Yes,Yes,No,Yes,6000
Apple,iPhone 5,16.0,1,iOS,4.00,No,No,No,No,6000
Samsung,Galaxy A10,,4,Android,6.20,No,No,No,No,6000
Samsung,Galaxy Grand,,1,Android,5.00,Yes,Yes,No,No,6000
Samsung,Galaxy J2,,1,Android,4.70,No,No,No,No,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,6000
Samsung,Galaxy J2,,1,Android,4.70,Yes,Yes,No,No,6000
Samsung,Galaxy S3,,1,Android,4.80,Yes,Yes,No,No,6000
Samsung,Galaxy J2,16.0,1,Android,4.70,Yes,Yes,No,No,6000
Apple,iPhone 5S,16.0,1,iOS,4.00,No,No,No,No,6000
Samsung,Galaxy J2,,1,Android,4.70,Yes,No,No,No,6000
Samsung,Galaxy J2,,1,Android,4.70,Yes,No,No,No,6000
Oppo,A37,16.0,2,Android,5.00,Yes,Yes,No,No,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,No,No,No,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,6000
Huawei,Honor,,4.0,Android,5.20,No,No,No,No,6000
Samsung,Galaxy On7,,1.5,Android,5.50,No,No,No,No,6000
Nokia,2.1,16.0,1,Android,5.50,Yes,No,No,No,6000
Apple,iPhone 6S,16.0,2,iOS,4.70,No,No,No,No,6000
Oppo,A3s,16.0,4,Android,6.20,Yes,Yes,No,Yes,6000
Samsung,Galaxy Core,,1,Android,4.30,Yes,Yes,No,No,6000
Nokia,216,0.016,0.016,Other,2.40,Yes,No,No,No,6000
Samsung,Galaxy On7,,1.5,Android,5.50,No,No,No,No,6000
Samsung,Galaxy J7,,1.5,Android,5.50,Yes,Yes,No,Yes,6000
Apple,iPhone 6S,16.0,2,iOS,4.70,No,No,No,No,6000
Samsung,Galaxy A30 S,,3,Android,6.40,Yes,Yes,No,Yes,6000
Samsung,Galaxy Grand,,1,Android,5.00,Yes,No,No,No,6000
Samsung,Galaxy S3,,1,Android,4.80,Yes,Yes,No,No,6000
Huawei,Y3,,1.0,Android,5.00,Yes,Yes,No,No,6000
Samsung,Galaxy J5,,1.5,Android,5.00,Yes,Yes,No,No,6000
HTC,Desire 626,,0.5,Android,5.00,Yes,Yes,No,No,6000
Nokia,2,16.0,1,Android,5.00,Yes,Yes,No,No,6000
Samsung,Galaxy J3,,2,Android,5.00,Yes,Yes,No,No,6000
Samsung,Galaxy J2,,1,Android,4.70,Yes,No,No,No,6000
Apple,iPhone 5,16.0,1,iOS,4.00,No,Yes,No,No,6000
Samsung,Galaxy A10s,,3,Android,6.20,Yes,No,No,Yes,6000
Samsung,Galaxy J5,,1.5,Android,5.00,Yes,No,No,No,6000
Samsung,Galaxy J7,,1.5,Android,5.50,Yes,Yes,No,Yes,6000
Samsung,Galaxy Grand,,1,Android,5.00,Yes,No,No,No,6000
Samsung,Galaxy Y duos,,0.25,Android,3.14,Yes,Yes,No,No,6000
Huawei,Y3,,1.0,Android,5.00,Yes,No,No,No,6000
Samsung,Galaxy S3,,1,Android,4.80,No,Yes,No,Yes,6000
Nokia,1.4,64.0,1.0,Android,6.52,Yes,Yes,No,Yes,6000
Huawei,Y3,,1.0,Android,5.00,Yes,Yes,No,No,6000
Nokia,Eseries,0.25,0.128,Symbian OS,2.40,No,Yes,No,No,6000
Samsung,Galaxy S6 Edge,,3,Android,5.10,Yes,Yes,No,Yes,6000
Samsung,Galaxy S4,16.0,2,Android,5.00,Yes,Yes,No,No,6000
Nokia,C1,,1,Android,5.45,Yes,No,No,No,6000
Nokia,C1,16.0,1,Android,5.45,Yes,No,No,No,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,6000
Samsung,Galaxy J2,,1,Android,4.70,Yes,Yes,No,Yes,6000
Huawei,Honor,,4.0,Android,5.20,Yes,Yes,No,No,6000
Samsung,Galaxy Ace,,0.25,Android,3.50,No,No,No,No,6000
Samsung,Galaxy Core,,1,Android,4.30,Yes,Yes,No,No,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,No,No,No,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,6000
Apple,iPhone 5S,16.0,1,iOS,4.00,No,No,No,Yes,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,6000
Nokia,C1 Plus,,1,Android,5.45,Yes,Yes,No,No,6000
Vivo,Y1s,32.0,2.0,Android,6.22,Yes,No,No,No,6000
Huawei,Y3,,1.0,Android,5.00,Yes,Yes,No,Yes,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,No,6000
HTC,Desire 630,,2,Android,5.00,Yes,Yes,No,No,6000
Samsung,Galaxy Y duos,,0.25,Android,3.14,Yes,Yes,No,No,6000
Samsung,Galaxy J5,,1.5,Android,5.00,No,No,No,No,6000
Samsung,Galaxy J7,,1.5,Android,5.50,No,Yes,No,No,6000
Huawei,Y3,,1.0,Android,5.00,Yes,No,No,No,6000
Samsung,Galaxy J2,16.0,1,Android,4.70,Yes,Yes,No,No,6000
Huawei,Y3,,1.0,Android,5.00,Yes,Yes,No,Yes,6000
Samsung,Galaxy Grand,,1,Android,5.00,Yes,No,No,Yes,6000
Nokia,5.3,64.0,3.0,Android,6.55,Yes,Yes,No,Yes,6000
Samsung,Galaxy J6,,2,Android,5.60,Yes,Yes,No,Yes,6000
Nokia,150,0.032,0.004,Other,2.40,Yes,Yes,No,No,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,Yes,No,Yes,6000
Samsung,Galaxy J1,,0.5,Android,4.30,Yes,No,No,No,6000
Samsung,Galaxy J2,,1,Android,4.70,Yes,No,No,No,6000
LG,K7,16.0,1.5,Android,5.00,Yes,Yes,No,No,6000
Samsung,Galaxy J7,,1.5,Android,5.50,Yes,Yes,No,Yes,6000
Nokia,C2,16.0,1,Android,5.70,Yes,Yes,No,Yes,6000
Samsung,Galaxy Grand,,1,Android,5.00,Yes,Yes,No,No,6000
